HomeTeam,AwayTeam,HomeForm_raw,AwayForm_raw,HomeOdds_raw,DrawOdds_raw,AwayOdds_raw,HomeForm,AwayForm,HomeOdds,DrawOdds,AwayOdds,FormDiff,FormGroup,Prob_Home,Prob_Draw,Prob_Away,EV_Home,EV_Draw,EV_Away,BestSide,BestEV,MarketImpHome,MarketImpAway,MarketImpDraw,OddsHome,OddsDraw,OddsAway,Decision,StakeFlat,StakeKellyUnit,ProbMargin
PSBS Biak Numfor,Bali United,1.0,1.75,5.3,4.35,1.41,1.0,1.75,5.3,4.35,1.41,-0.75,Away Strong,0.04927104808700637,0.08846047162276754,0.862268480290226,-0.7388634451388663,-0.6151969484409612,0.21579855720921848,Away,0.21579855720921848,0.16730084693752303,0.6288613395523914,0.20383781351008554,5.3,4.35,1.41,NO_BET,0.0,0.0,0.23340714073783453
Semen Padang,Persija,0.88,1.88,5.75,4.2,1.46,0.88,1.88,5.75,4.2,1.46,-0.9999999999999999,Away Strong,0.03475463702497024,0.1064894304339139,0.8587559325411158,-0.8001608371064212,-0.5527443921775617,0.25378366151002907,Away,0.25378366151002907,0.1585438374227577,0.624402099438943,0.21705406313829922,5.75,4.2,1.46,NO_BET,0.0,0.0,0.23435383310217284
Panserraikos,Levadiakos,0.5,1.71,5.74,3.84,1.58,0.5,1.71,5.74,3.84,1.58,-1.21,Away Strong,0.027848981819647088,0.16864826116731238,0.8035027570130404,-0.8401468443552257,-0.3523906771175205,0.26953435608060383,Away,0.26953435608060383,0.16319328635214372,0.5928667491527246,0.24393996449513156,5.74,3.84,1.58,NO_BET,0.0,0.0,0.21063600786031578
Asteras Tripolis II,Anagennisi Karditsas,1.8,2.4,3.98,2.7,2.1,1.8,2.4,3.98,2.7,2.1,-0.5999999999999999,Away Strong,0.08346010251788728,0.321660025433568,0.5948798720485448,-0.6678287919788086,-0.1315179313293664,0.2492477313019441,Away,0.2492477313019441,0.2288689755388714,0.43376120125938483,0.33736982320174375,3.98,2.7,2.1,NO_BET,0.0,0.0,0.16111867078915992
Antigua GFC,Municipal,2.0,2.07,2.39,2.69,3.2,2.0,2.07,2.39,2.69,3.2,-0.06999999999999984,Balanced,0.17499740819334905,0.6428469244156811,0.1821556673909699,-0.5817561944178957,0.7292582266781822,-0.4171018643488963,Draw,0.7292582266781822,0.379456118773997,0.283406288709329,0.33713759251667397,2.39,2.69,3.2,NO_BET,0.0,0.0,0.3057093318990072
Nzoia Sugar,Migori Youth FC,1.86,1.5,2.19,2.6,3.62,1.86,1.5,2.19,2.6,3.62,0.3600000000000001,Balanced,0.49073581705204916,0.3669364501706299,0.142327732777321,0.0747114393439876,-0.045965229556362175,-0.484773607346098,Home,0.0747114393439876,0.4086169021177574,0.24720193802151624,0.3441811598607264,2.19,2.6,3.62,NO_BET,0.0,0.0,0.08211891493429174
Al Masry,Dekernes,2.2,1.7,1.18,5.4,11.0,2.2,1.7,1.18,5.4,11.0,0.5000000000000002,Balanced,0.5580671240713169,0.4043652395855705,0.03756763634311261,-0.34148079359584615,1.1835722937620812,-0.5867560002257612,Draw,1.1835722937620812,0.7542665583096303,0.08091223080048761,0.16482121088988214,1.18,5.4,11.0,NO_BET,0.0,0.0,0.2395440286956884
Pyramids FC,Masar,1.6,2.0,1.47,3.9,6.6,1.6,2.0,1.47,3.9,6.6,-0.3999999999999999,Balanced,0.132313378584266,0.6421453174097711,0.22554130400596278,-0.805499333481129,1.5043667378981072,0.4885726064393543,Draw,1.5043667378981072,0.6251366120218578,0.1392349726775956,0.23562841530054646,1.47,3.9,6.6,NO_BET,0.0,0.0,0.40651690210922464
Maccabi Haifa,Beitar Jerusalem,1.43,2.57,2.27,3.5,2.75,1.43,2.57,2.27,3.5,2.75,-1.14,Away Strong,0.040842908512256124,0.4034750973001523,0.5556819941875916,-0.9072865976771786,0.4121628405505331,0.5281254840158769,Away,0.5281254840158769,0.4041994750656168,0.3336482939632546,0.2621522309711286,2.27,3.5,2.75,BET,1.0,0.07544649771655383,0.22203370022433694
USM Alger,MB Rouisset,1.67,0.83,1.49,3.7,6.25,1.67,0.83,1.49,3.7,6.25,0.84,Balanced,0.7031487119463872,0.2683405924479095,0.028510695605703313,0.04769158080011682,-0.007139807942734944,-0.8218081524643543,Home,0.04769158080011682,0.609346385423117,0.1452681782848711,0.24538543629201193,1.49,3.7,6.25,NO_BET,0.0,0.0,0.09380232652327014
Sumqayıt,Sabah,1.44,2.5,3.51,3.38,1.8,1.44,2.5,3.51,3.38,1.8,-1.06,Away Strong,0.037932662384015804,0.24794143182199174,0.7141259057939926,-0.8668563550321046,-0.161957960441668,0.2854266304291868,Away,0.2854266304291868,0.2507232401157184,0.4889103182256509,0.26036644165863065,3.51,3.38,1.8,NO_BET,0.0,0.0,0.2252155875683417
Medeama,Basake Holy Stars,2.25,0.38,1.3,4.5,12.0,2.25,0.38,1.3,4.5,12.0,1.87,Home Strong,0.8734809530232465,0.12389650560928547,0.0026225413674679987,0.1355252389302204,-0.44246572475821533,-0.968529503590384,Home,0.1355252389302204,0.7157057654075546,0.0775347912524851,0.20675944333996024,1.3,4.5,12.0,NO_BET,0.0,0.0,0.15777518761569187
Bolívar,Nacional Potosí,2.5,2.1,1.2,5.5,11.7,2.5,2.1,1.2,5.5,11.7,0.3999999999999999,Balanced,0.4890647204588678,0.45572676685064495,0.05520851269048721,-0.4131223354493587,1.5064972176785472,-0.3540604015212997,Draw,1.5064972176785472,0.7571478997529122,0.07765619484645253,0.1651959054006354,1.2,5.5,11.7,NO_BET,0.0,0.0,0.29053086145000956
Lakshadweep,Goa FT,0.9,1.0,6.5,5.25,1.3,0.9,1.0,6.5,5.25,1.3,-0.09999999999999998,Balanced,0.14801205084243635,0.0593326101024906,0.792655339055073,-0.03792166952416376,-0.6885037969619243,0.030451940771594854,Away,0.030451940771594854,0.13815789473684212,0.6907894736842104,0.17105263157894735,6.5,5.25,1.3,NO_BET,0.0,0.0,0.10186586537086262
Services,Karnataka,1.9,1.1,1.5,3.9,6.08,1.9,1.1,1.5,3.9,6.08,0.7999999999999998,Balanced,0.6945061170882697,0.2706540723142757,0.03483981059745464,0.0417591756324045,0.05555088202567515,-0.7881739515674757,Draw,0.05555088202567515,0.6129982937800527,0.15123313168915775,0.23576857453078953,1.5,3.9,6.08,NO_BET,0.0,0.0,0.03488549778348615
AEL,AEK Larnaca,1.75,2.13,4.19,3.3,1.83,1.75,2.13,4.19,3.3,1.83,-0.3799999999999999,Balanced,0.11506442300644078,0.11545156284171458,0.7694840141518446,-0.5178800676030131,-0.6190098426223418,0.40815574589787573,Away,0.40815574589787573,0.21933121956003007,0.502184595604659,0.2784841848353109,4.19,3.3,1.83,NO_BET,0.0,0.0,0.26729941854718564
